"","Model","Region","Scenario","Year","Inequality index|Gini","Gini_recomputed","Gini_full"
"132","AIM","Japan","1150_redist",2035,0.3019065,0.289561112609722,0.3019065
"133","AIM","Japan","1150_redist",2040,0.306592,0.295153058061223,0.306592
"134","AIM","Japan","1150_redist",2045,0.3074645,0.296047689209538,0.3074645
"135","AIM","Japan","1150_redist",2050,0.308337,0.29694232,0.308337
"136","AIM","Mexico","1150_redist",2010,0.452571,0.44089765182047,0.452571
"137","AIM","Mexico","1150_redist",2015,0.4421715,0.430979606902039,0.4421715
"138","AIM","Mexico","1150_redist",2020,0.431772,0.42106156,0.431772
"139","AIM","Mexico","1150_redist",2025,0.3903535,0.373305817012382,0.3903535
"140","AIM","Mexico","1150_redist",2030,0.348935,0.325550117004894,0.348935
"141","AIM","Mexico","1150_redist",2035,0.353036,0.333759674680244,0.353036
"142","AIM","Mexico","1150_redist",2040,0.357137,0.341969234818459,0.357137
"143","AIM","Mexico","1150_redist",2045,0.341827,0.328143510149771,0.341827
"144","AIM","Mexico","1150_redist",2050,0.326517,0.314317778568222,0.326517
"145","AIM","Russia","1150_redist",2010,0.398101,0.389062246718674,0.398101
"146","AIM","Russia","1150_redist",2015,0.3905005,0.381787252714901,0.3905005
"147","AIM","Russia","1150_redist",2020,0.3829,0.374512257256129,0.3829
"148","AIM","Russia","1150_redist",2025,0.334842,0.315499130774957,0.334842
"149","AIM","Russia","1150_redist",2030,0.286784,0.256486057405577,0.286784
"150","AIM","Russia","1150_redist",2035,0.301305,0.27476259873813,0.301305
"151","AIM","Russia","1150_redist",2040,0.315826,0.293039156519578,0.315826
"152","AIM","Russia","1150_redist",2045,0.325732,0.304397941099485,0.325732
"153","AIM","Russia","1150_redist",2050,0.335638,0.31575672,0.335638
"154","AIM","United States","1150_redist",2010,0.400976,0.392272206182235,0.400976
"155","AIM","United States","1150_redist",2015,0.411412,0.402337633948065,0.411412
"156","AIM","United States","1150_redist",2020,0.421848,0.412403068759693,0.421848
"157","AIM","United States","1150_redist",2025,0.4026495,0.388621639879738,0.4026495
"158","AIM","United States","1150_redist",2030,0.383451,0.364840184840185,0.383451
"159","AIM","United States","1150_redist",2035,0.3951505,0.377705571082229,0.3951505
"160","AIM","United States","1150_redist",2040,0.40685,0.390570941885811,0.40685
"161","AIM","United States","1150_redist",2045,0.4100975,0.393861759386176,0.4100975
"162","AIM","United States","1150_redist",2050,0.413345,0.397152578861032,0.413345
"163","AIM","Brazil","650",2010,0.533423,0.5183285,0.533423
"164","AIM","Brazil","650",2015,0.534426,0.51936701968351,0.534426
"165","AIM","Brazil","650",2020,0.535429,0.52040554040554,0.535429
"166","AIM","Brazil","650",2025,0.53916,0.523967489748134,0.53916
"167","AIM","Brazil","650",2030,0.542891,0.527529434567052,0.542891
"168","AIM","Brazil","650",2035,0.5429945,0.527626265690657,0.5429945
"169","AIM","Brazil","650",2040,0.543098,0.527723096871391,0.543098
"170","AIM","Brazil","650",2045,0.543041,0.527625382762539,0.543041
"171","AIM","Brazil","650",2050,0.542984,0.52752766869668,0.542984
"172","AIM","Canada","650",2010,0.332456,0.325848042584804,0.332456
"173","AIM","Canada","650",2015,0.337324,0.330595041529752,0.337324
"174","AIM","Canada","650",2020,0.342192,0.33534204,0.342192
"175","AIM","Canada","650",2025,0.3482,0.341186841762632,0.3482
"176","AIM","Canada","650",2030,0.354208,0.347031641187344,0.354208
"177","AIM","Canada","650",2035,0.3602235,0.35287499885,0.3602235
"178","AIM","Canada","650",2040,0.366239,0.358718356512657,0.366239
"179","AIM","Canada","650",2045,0.372717,0.364997671251746,0.372717
"180","AIM","Canada","650",2050,0.379195,0.37127698159532,0.379195
"181","AIM","China","650",2010,0.434617,0.423291510683396,0.434617
"182","AIM","China","650",2015,0.409622,0.39956240026256,0.409622
"183","AIM","China","650",2020,0.384627,0.37583329933336,0.384627
"184","AIM","China","650",2025,0.3813275,0.37277461633523,0.3813275
"185","AIM","China","650",2030,0.378028,0.369715932113627,0.378028
"186","AIM","China","650",2035,0.369553,0.361593197716939,0.369553
"187","AIM","China","650",2040,0.361078,0.353470449511585,0.361078
"188","AIM","China","650",2045,0.3502745,0.343037571518786,0.3502745
"189","AIM","China","650",2050,0.339471,0.332604710218587,0.339471
"190","AIM","France","650",2010,0.333756,0.327087073543537,0.333756
"191","AIM","France","650",2015,0.3292215,0.322691501345751,0.3292215
"192","AIM","France","650",2020,0.324687,0.318295929147964,0.324687
"193","AIM","France","650",2025,0.3258065,0.319397146789002,0.3258065
"194","AIM","France","650",2030,0.326926,0.320498364099673,0.326926
"195","AIM","France","650",2035,0.3270225,0.320606404848399,0.3270225
"196","AIM","France","650",2040,0.327119,0.320714445499888,0.327119
"197","AIM","France","650",2045,0.3266235,0.320244671012234,0.3266235
"198","AIM","France","650",2050,0.326128,0.319774895819917,0.326128
"199","AIM","India","650",2010,0.354037,0.345959981363984,0.354037
"200","AIM","India","650",2015,0.364183,0.355498634398907,0.364183
"201","AIM","India","650",2020,0.374329,0.3650372855261,0.374329
"202","AIM","India","650",2025,0.3919855,0.381078734998387,0.3919855
"203","AIM","India","650",2030,0.409642,0.396776587284637,0.409642
"204","AIM","India","650",2035,0.4165465,0.40482266809975,0.4165465
"205","AIM","India","650",2040,0.423451,0.413044852173089,0.423451
"206","AIM","India","650",2045,0.433825,0.42313881380283,0.433825
"207","AIM","India","650",2050,0.444199,0.433232773413782,0.444199
"208","AIM","Japan","650",2010,0.31928,0.312936022587205,0.31928
"209","AIM","Japan","650",2015,0.32016,0.313806511380651,0.32016
"210","AIM","Japan","650",2020,0.32104,0.314677,0.32104
"211","AIM","Japan","650",2025,0.3234,0.315610993902748,0.3234
"212","AIM","Japan","650",2030,0.32576,0.316544988272494,0.32576
"213","AIM","Japan","650",2035,0.3269385,0.318128173625635,0.3269385
"214","AIM","Japan","650",2040,0.328117,0.319711358028864,0.328117
"215","AIM","Japan","650",2045,0.329053,0.32092298,0.329053
"216","AIM","Japan","650",2050,0.329989,0.32213460221346,0.329989
"217","AIM","Mexico","650",2010,0.452571,0.44089765182047,0.452571
"218","AIM","Mexico","650",2015,0.4421715,0.430979606902039,0.4421715
"219","AIM","Mexico","650",2020,0.431772,0.42106156,0.431772
"220","AIM","Mexico","650",2025,0.4238355,0.413520167028025,0.4238355
"221","AIM","Mexico","650",2030,0.415899,0.405978771793632,0.415899
"222","AIM","Mexico","650",2035,0.402579,0.393207897377236,0.402579
"223","AIM","Mexico","650",2040,0.389259,0.380437039562961,0.389259
"224","AIM","Mexico","650",2045,0.369195,0.361096558067926,0.369195
"225","AIM","Mexico","650",2050,0.349131,0.34175607077075,0.349131
"226","AIM","Russia","650",2010,0.398101,0.389062246718674,0.398101
"227","AIM","Russia","650",2015,0.3905005,0.381787198625519,0.3905005
"228","AIM","Russia","650",2020,0.3829,0.37451214980486,0.3829
"229","AIM","Russia","650",2025,0.385959,0.377523985895388,0.385959
"230","AIM","Russia","650",2030,0.389018,0.380535824696572,0.389018
"231","AIM","Russia","650",2035,0.391054,0.382546881910161,0.391054
"232","AIM","Russia","650",2040,0.39309,0.384557936911587,0.39309
"233","AIM","Russia","650",2045,0.395553,0.386979094348955,0.395553
"234","AIM","Russia","650",2050,0.398016,0.389400251059975,0.398016
"235","AIM","United States","650",2010,0.400976,0.392272206182235,0.400976
"236","AIM","United States","650",2015,0.411412,0.402337679064928,0.411412
"237","AIM","United States","650",2020,0.421848,0.41240316,0.421848
"238","AIM","United States","650",2025,0.429626,0.419843420039145,0.429626
"239","AIM","United States","650",2030,0.437404,0.427283676358162,0.437404
"240","AIM","United States","650",2035,0.4412555,0.430924031445581,0.4412555
"241","AIM","United States","650",2040,0.445107,0.43456438580493,0.445107
"242","AIM","United States","650",2045,0.447572,0.436864065254374,0.447572
"243","AIM","United States","650",2050,0.450037,0.439163746083626,0.450037
"244","AIM","Brazil","650_redist",2010,0.533423,0.5183285,0.533423
"245","AIM","Brazil","650_redist",2015,0.534426,0.519366948715127,0.534426
"246","AIM","Brazil","650_redist",2020,0.535429,0.520405398364858,0.535429
"247","AIM","Brazil","650_redist",2025,0.491279,0.470030938012375,0.491279
"248","AIM","Brazil","650_redist",2030,0.447129,0.419656528034347,0.447129
"249","AIM","Brazil","650_redist",2035,0.4951695,0.473746941613387,0.4951695
"250","AIM","Brazil","650_redist",2040,0.54321,0.527837334638079,0.54321
"251","AIM","Brazil","650_redist",2045,0.543176,0.527772637586186,0.543176
"252","AIM","Brazil","650_redist",2050,0.543142,0.527707940543998,0.543142
"253","AIM","Canada","650_redist",2010,0.332456,0.325848042584804,0.332456
"254","AIM","Canada","650_redist",2015,0.337324,0.330595041529752,0.337324
"255","AIM","Canada","650_redist",2020,0.342192,0.33534204,0.342192
"256","AIM","Canada","650_redist",2025,0.319486,0.306552130327606,0.319486
"257","AIM","Canada","650_redist",2030,0.29678,0.277762217776222,0.29678
"258","AIM","Canada","650_redist",2035,0.317639,0.301643830164383,0.317639
"259","AIM","Canada","650_redist",2040,0.338498,0.325525442552544,0.338498
"260","AIM","Canada","650_redist",2045,0.353573,0.34212368,0.353573
"261","AIM","Canada","650_redist",2050,0.368648,0.358721914127809,0.368648
"262","AIM","China","650_redist",2010,0.434617,0.423291510683396,0.434617
"263","AIM","China","650_redist",2015,0.409622,0.39956240026256,0.409622
"264","AIM","China","650_redist",2020,0.384627,0.37583329933336,0.384627
"265","AIM","China","650_redist",2025,0.3375955,0.305614005508795,0.3375955
"266","AIM","China","650_redist",2030,0.290564,0.235394711684231,0.290564
"267","AIM","China","650_redist",2035,0.28266,0.241069274198045,0.28266
"268","AIM","China","650_redist",2040,0.274756,0.246743837279314,0.274756
"269","AIM","China","650_redist",2045,0.2829495,0.260308173815095,0.2829495
"270","AIM","China","650_redist",2050,0.291143,0.273872513063743,0.291143
"271","AIM","France","650_redist",2010,0.333756,0.327087073543537,0.333756
"272","AIM","France","650_redist",2015,0.3292215,0.322691501345751,0.3292215
"273","AIM","France","650_redist",2020,0.324687,0.318295929147964,0.324687
"274","AIM","France","650_redist",2025,0.312944,0.303742232619563,0.312944
"275","AIM","France","650_redist",2030,0.301201,0.289188530269678,0.301201
"276","AIM","France","650_redist",2035,0.305853,0.29484738974237,0.305853
"277","AIM","France","650_redist",2040,0.310505,0.300506239595009,0.310505
"278","AIM","France","650_redist",2045,0.313292,0.304025840402584,0.313292
"279","AIM","France","650_redist",2050,0.316079,0.307545447545448,0.316079
"280","AIM","India","650_redist",2010,0.354036,0.345960130556144,0.354036
"281","AIM","India","650_redist",2015,0.3641825,0.35549864717385,0.3641825
"282","AIM","India","650_redist",2020,0.374329,0.365037159022295,0.374329
"283","AIM","India","650_redist",2025,0.3404905,0.315448773862193,0.3404905
