,Model,Region,Variable,Unit,Year,WP4_REF,Scenario,value,change,DEC
168,AIM,JPN,Consumption Decile|D5,%,2020,7.83608,WP4_650_redist,7.83608,0,5
169,AIM,JPN,Consumption Decile|D5,%,2030,7.78626,WP4_1150,7.76903,-0.221287242,5
170,AIM,JPN,Consumption Decile|D5,%,2030,7.78626,WP4_1150_redist,8.13817,4.519628166,5
171,AIM,JPN,Consumption Decile|D5,%,2030,7.78626,WP4_650,7.76743,-0.24183626,5
172,AIM,JPN,Consumption Decile|D5,%,2030,7.78626,WP4_650_redist,8.32015,6.856822146,5
173,AIM,JPN,Consumption Decile|D5,%,2040,7.76014,WP4_1150,7.75984,-0.00386591,5
174,AIM,JPN,Consumption Decile|D5,%,2040,7.76014,WP4_1150_redist,8.0273,3.442721394,5
175,AIM,JPN,Consumption Decile|D5,%,2040,7.76014,WP4_650,7.74719,-0.166878433,5
176,AIM,JPN,Consumption Decile|D5,%,2040,7.76014,WP4_650_redist,8.14991,5.022718662,5
177,AIM,JPN,Consumption Decile|D5,%,2050,7.73958,WP4_1150,7.73927,-0.004005385,5
178,AIM,JPN,Consumption Decile|D5,%,2050,7.73958,WP4_1150_redist,8.00801,3.468276056,5
179,AIM,JPN,Consumption Decile|D5,%,2050,7.73958,WP4_650,7.73039,-0.118740293,5
180,AIM,JPN,Consumption Decile|D5,%,2050,7.73958,WP4_650_redist,8.04551,3.952798472,5
181,AIM,JPN,Consumption Decile|D5,%,2060,7.728065196,WP4_1150,7.722351263,-0.073937437,5
182,AIM,JPN,Consumption Decile|D5,%,2060,7.728065196,WP4_1150_redist,8.033473587,3.951938588,5
183,AIM,JPN,Consumption Decile|D5,%,2060,7.728065196,WP4_650,7.722118971,-0.076943262,5
184,AIM,JPN,Consumption Decile|D5,%,2060,7.728065196,WP4_650_redist,7.959776235,2.998305955,5
185,AIM,JPN,Consumption Decile|D5,%,2070,7.73826412,WP4_1150,7.735226205,-0.039258346,5
186,AIM,JPN,Consumption Decile|D5,%,2070,7.73826412,WP4_1150_redist,7.954447843,2.79369791,5
187,AIM,JPN,Consumption Decile|D5,%,2070,7.73826412,WP4_650,7.735045328,-0.041595794,5
188,AIM,JPN,Consumption Decile|D5,%,2070,7.73826412,WP4_650_redist,7.939597387,2.601788508,5
189,AIM,JPN,Consumption Decile|D5,%,2080,7.743883281,WP4_1150,7.742349902,-0.019801165,5
190,AIM,JPN,Consumption Decile|D5,%,2080,7.743883281,WP4_1150_redist,7.913080471,2.184913999,5
191,AIM,JPN,Consumption Decile|D5,%,2080,7.743883281,WP4_650,7.742053622,-0.023627158,5
192,AIM,JPN,Consumption Decile|D5,%,2080,7.743883281,WP4_650_redist,7.91823928,2.251531855,5
193,AIM,JPN,Consumption Decile|D5,%,2090,7.75787718,WP4_1150,7.757126061,-0.009682013,5
194,AIM,JPN,Consumption Decile|D5,%,2090,7.75787718,WP4_1150_redist,7.905637446,1.904648179,5
195,AIM,JPN,Consumption Decile|D5,%,2090,7.75787718,WP4_650,7.756723853,-0.014866527,5
196,AIM,JPN,Consumption Decile|D5,%,2090,7.75787718,WP4_650_redist,7.906361992,1.913987668,5
197,AIM,JPN,Consumption Decile|D5,%,2100,7.772488055,WP4_1150,7.772482793,-6.77E-05,5
198,AIM,JPN,Consumption Decile|D5,%,2100,7.772488055,WP4_1150_redist,7.899377667,1.632548176,5
199,AIM,JPN,Consumption Decile|D5,%,2100,7.772488055,WP4_650,7.771965321,-0.006725429,5
200,AIM,JPN,Consumption Decile|D5,%,2100,7.772488055,WP4_650_redist,7.897687555,1.610803376,5
201,AIM,JPN,Consumption Decile|D6,%,2010,9.09394,WP4_1150,9.09394,0,6
202,AIM,JPN,Consumption Decile|D6,%,2010,9.09394,WP4_1150_redist,9.09394,0,6
203,AIM,JPN,Consumption Decile|D6,%,2010,9.09394,WP4_650,9.09394,0,6
204,AIM,JPN,Consumption Decile|D6,%,2010,9.09394,WP4_650_redist,9.09394,0,6
205,AIM,JPN,Consumption Decile|D6,%,2020,9.07981,WP4_1150,9.07981,0,6
206,AIM,JPN,Consumption Decile|D6,%,2020,9.07981,WP4_1150_redist,9.07981,0,6
207,AIM,JPN,Consumption Decile|D6,%,2020,9.07981,WP4_650,9.07981,0,6
208,AIM,JPN,Consumption Decile|D6,%,2020,9.07981,WP4_650_redist,9.07981,0,6
209,AIM,JPN,Consumption Decile|D6,%,2030,9.04255,WP4_1150,9.02282,-0.218190665,6
210,AIM,JPN,Consumption Decile|D6,%,2030,9.04255,WP4_1150_redist,9.28348,2.664403293,6
211,AIM,JPN,Consumption Decile|D6,%,2030,9.04255,WP4_650,9.02118,-0.236327142,6
212,AIM,JPN,Consumption Decile|D6,%,2030,9.04255,WP4_650_redist,9.40003,3.953309631,6
213,AIM,JPN,Consumption Decile|D6,%,2040,9.0229,WP4_1150,9.02268,-0.00243824,6
214,AIM,JPN,Consumption Decile|D6,%,2040,9.0229,WP4_1150_redist,9.20866,2.058761595,6
215,AIM,JPN,Consumption Decile|D6,%,2040,9.0229,WP4_650,9.00816,-0.163362112,6
216,AIM,JPN,Consumption Decile|D6,%,2040,9.0229,WP4_650_redist,9.2903,2.963570471,6
217,AIM,JPN,Consumption Decile|D6,%,2050,9.00736,WP4_1150,9.00711,-0.002775508,6
218,AIM,JPN,Consumption Decile|D6,%,2050,9.00736,WP4_1150_redist,9.19496,2.082741225,6
219,AIM,JPN,Consumption Decile|D6,%,2050,9.00736,WP4_650,8.99694,-0.115683175,6
220,AIM,JPN,Consumption Decile|D6,%,2050,9.00736,WP4_650_redist,9.22025,2.363511617,6
221,AIM,JPN,Consumption Decile|D6,%,2060,8.998666354,WP4_1150,8.992150457,-0.072409581,6
222,AIM,JPN,Consumption Decile|D6,%,2060,8.998666354,WP4_1150_redist,9.211734232,2.367771734,6
223,AIM,JPN,Consumption Decile|D6,%,2060,8.998666354,WP4_650,8.991952157,-0.07461324,6
224,AIM,JPN,Consumption Decile|D6,%,2060,8.998666354,WP4_650_redist,9.161569857,1.810307175,6
225,AIM,JPN,Consumption Decile|D6,%,2070,9.006478283,WP4_1150,9.002930284,-0.039393863,6
226,AIM,JPN,Consumption Decile|D6,%,2070,9.006478283,WP4_1150_redist,9.158447071,1.687327528,6
227,AIM,JPN,Consumption Decile|D6,%,2070,9.006478283,WP4_650,9.002809745,-0.040732222,6
228,AIM,JPN,Consumption Decile|D6,%,2070,9.006478283,WP4_650_redist,9.14818838,1.57342407,6
229,AIM,JPN,Consumption Decile|D6,%,2080,9.01079479,WP4_1150,9.008970047,-0.020250634,6
230,AIM,JPN,Consumption Decile|D6,%,2080,9.01079479,WP4_1150_redist,9.130265827,1.325865697,6
231,AIM,JPN,Consumption Decile|D6,%,2080,9.01079479,WP4_650,9.00875239,-0.022666141,6
232,AIM,JPN,Consumption Decile|D6,%,2080,9.01079479,WP4_650_redist,9.133781522,1.364882174,6
233,AIM,JPN,Consumption Decile|D6,%,2090,9.021457128,WP4_1150,9.020557362,-0.009973618,6
234,AIM,JPN,Consumption Decile|D6,%,2090,9.021457128,WP4_1150_redist,9.125655994,1.155011492,6
235,AIM,JPN,Consumption Decile|D6,%,2090,9.021457128,WP4_650,9.020264053,-0.01322485,6
236,AIM,JPN,Consumption Decile|D6,%,2090,9.021457128,WP4_650_redist,9.126165121,1.160655006,6
237,AIM,JPN,Consumption Decile|D6,%,2100,9.032546995,WP4_1150,9.032538836,-9.03E-05,6
238,AIM,JPN,Consumption Decile|D6,%,2100,9.032546995,WP4_1150_redist,9.121950768,0.989795823,6
239,AIM,JPN,Consumption Decile|D6,%,2100,9.032546995,WP4_650,9.032154175,-0.00434894,6
